,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Andrea,Felipe_latinamerica_spanish,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Termino central
21,sensibles,0.3135025501,"['Attribute or characteristic<--usuarios', 'Undetermined<--privacidad']",Undetermined,Undetermined,Undetermined,contrasenas,0.3728538156,['Security mechanisms<--privacidad'],Security mechanisms,Security mechanisms,Security mechanisms,use,0.3477747738,['Action<--users'],"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",consumer,0.2947375178,['Users<--privacy'],Users,Users,Users,facebooks,0.2359678298,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,seguros,0.2946898937,['Privacy & security terms<--privacidad'],Privacy & security terms,Privacy & security terms,Privacy & security terms,facebooks,0.3831356764,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Privacidad
22,confidencialidad,0.3127959073,"['Privacy & security terms<--informacion', 'Privacy & security terms<--privacidad']",Privacy & security terms,Privacy & security terms,Privacy & security terms,gprd,0.3719862103,-,Regulation,Regulation,Regulation,opt,0.3457291722,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,restrict,0.29347682,-,Action,Action,Action,europeanunion,0.2325362563,-,Third party,Third party,Third party,gdpr,0.2945149541,"['Regulation<--privacidad', 'Regulation<--privacy']",Regulation,Regulation,Regulation,private,0.3819898367,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Synonymous,Synonymous,Synonymous,Privacidad
23,tema,0.3119178414,-,Undetermined,Undetermined,Undetermined,password,0.3692798615,-,Security mechanisms,Security mechanisms,Security mechanisms,tos,0.3451534212,['Regulation<--privacy'],Regulation,Regulation,Regulation,facebooks,0.2932973206,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,raised,0.2309049666,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,conscientes,0.2941387296,['Reaction or attitude<--privacidad'],Reaction or attitude,Reaction or attitude,Reaction or attitude,fb,0.3758351505,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Privacidad
24,constitucional,0.3114080429,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,biometria,0.3686799407,-,Security mechanisms,Security mechanisms,Security mechanisms,portability,0.3431174755,['Ownership agency<--privacy'],Ownership agency,Ownership agency,Ownership agency,datasecurity,0.2867833972,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,collection,0.2294808626,"['Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",gtibr,0.29318434,['Undetermined<--privacidad'],Undetermined,Undetermined,Undetermined,personaldata,0.3703534603,"['Data & Information<--information', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,Privacidad
25,proteger,0.3107053638,-,Ownership agency,Ownership agency,Ownership agency,flash,0.3684585094,-,Undetermined,Undetermined,Undetermined,security,0.3428867459,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,personaldata,0.2829880118,"['Data & Information<--information', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,raising,0.2290903032,-,Action,Action,Action,grooming,0.2931028008,['Privacy & security risks<--privacidad'],Privacy & security risks,Privacy & security risks,Privacy & security risks,usage,0.3697983027,"['Action<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Privacidad
26,concientizar,0.3104675114,-,Ownership agency,Ownership agency,Ownership agency,iso,0.3676837087,-,Regulation,Regulation,Regulation,private,0.3416986465,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Synonymous,Synonymous,Synonymous,encryption,0.282669127,['Security mechanisms<--privacy'],Security mechanisms,Security mechanisms,Security mechanisms,indication,0.228547886,-,Undetermined,Undetermined,Undetermined,proveedores,0.2910619378,['Third party<--privacidad'],Third party,Third party,Third party,collecting,0.3665133715,"['Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Privacidad
27,normas,0.3102797866,-,Regulation,Regulation,Regulation,legislacion,0.3629196882,-,Regulation,Regulation,Regulation,information,0.3402581811,"['Data & Information<--company', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,strict,0.2820955217,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,battles,0.2277013659,-,Action,Action,Action,normativas,0.2892681956,['Regulation<--privacidad'],Regulation,Regulation,Regulation,regulation,0.3661460578,['Regulation<--privacy'],Regulation,Regulation,Regulation,Privacidad
28,incidentes,0.3091803789,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,trato,0.3587015271,-,Action,Action,Action,google,0.3391866684,-,Companies,Companies,Companies,transparency,0.2817510664,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,solves,0.2274572849,-,Action,Action,Action,rgpd,0.2882537842,['Regulation<--privacidad'],Regulation,Regulation,Regulation,darkpatterns,0.3633600473,['Privacy & security risks<--privacy'],Privacy & security risks,Privacy & security risks,Privacy & security risks,Privacidad
29,protecciondedatospersonales,0.3075615168,-,Ownership agency,Ownership agency,Ownership agency,atenta,0.3586681485,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,advertisers,0.3374801874,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,comply,0.2805626988,-,Action,Action,Action,informed,0.2264491767,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,derechoalolvido,0.2852363288,['Regulation<--privacidad'],Regulation,Regulation,Regulation,confidentiality,0.3618973494,['Privacy & security terms<--privacy'],Privacy & security terms,Privacy & security terms,Privacy & security terms,Privacidad
30,vigencia,0.3060574532,-,Undetermined,Undetermined,Undetermined,experto,0.3573333025,-,Third party,Third party,Third party,default,0.3369957805,['Undetermined<--users'],Undetermined,Undetermined,Undetermined,terms,0.2803103328,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,solve,0.2254819274,-,Action,Action,Action,privacidaddatos,0.2846716046,['Privacy & security terms<--privacidad'],Privacy & security terms,Privacy & security terms,Privacy & security terms,advertisers,0.360443294,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Privacidad
