Information,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Felipe_latinamerica_spanish,Felipe,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Termino_Central
20,polemica,0.2896468639,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,daba,0.3488935232,-,Action,Action,Action,collected,0.350397706,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",identifiers,0.2493996471,['Security mechanisms<--information'],Privacy & security terms,Privacy & security terms,Privacy & security terms,legitimate,0.2736130357,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,perfiles,0.2688112259,"['Data & Information<--informacion', 'Data & Information<--usuarios']",Data & Information,Data & Information,Data & Information,unlawfully,0.3936986029,['Privacy & security risks<--information'],Privacy & security risks,Privacy & security risks,Privacy & security risks,Information
21,voluntariamente,0.2875307798,-,Ownership agency,Ownership agency,Ownership agency,suspendido,0.3463868499,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,parties,0.3493939042,-,Third party,Third party,Third party,personaldata,0.2483535111,"['Data & Information<--information', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,widely,0.2721854448,-,Undetermined,Undetermined,Undetermined,adecuado,0.2686202526,['Attribute or characteristic<--informacion'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,dna,0.3906356096,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,Information
22,identidad,0.2866685987,"['Privacy & security terms<--informacion', 'Privacy & security terms<--privacidad']",Privacy & security terms,Privacy & security terms,Privacy & security terms,ambito,0.3454945982,-,Undetermined,Undetermined,Undetermined,knowingly,0.3450334668,['Reaction or attitude<--information'],Reaction or attitude,Reaction or attitude,Reaction or attitude,confidential,0.2438039184,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,advertise,0.2712846398,-,Action,Action,Action,confidencialidad,0.2682775855,"['Privacy & security terms<--informacion', 'Privacy & security terms<--privacidad']",Privacy & security terms,Privacy & security terms,Privacy & security terms,apps,0.3861242533,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Information
23,afectadas,0.2861729264,-,Undetermined,Undetermined,Undetermined,necesidades,0.3429368734,-,Undetermined,Undetermined,Undetermined,profile,0.3450232148,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,vast,0.2435275763,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,illegally,0.2692985833,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,credenciales,0.266215384,['Security mechanisms<--informacion'],Security mechanisms,Security mechanisms,Security mechanisms,also,0.3832614422,"['Undetermined<--company', 'Undetermined<--information']",Undetermined,Undetermined,Undetermined,Information
24,dicho,0.282189101,-,Action,Action,Action,estrella,0.3406191766,-,Undetermined,Undetermined,Undetermined,identities,0.3422869444,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,researchers,0.2426631302,-,Third party,Third party,Third party,feedback,0.2683526278,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,privados,0.2639848292,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,facebook,0.3804083467,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Information
25,personal,0.2794169188,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,diarias,0.340077877,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,messages,0.3419530988,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,websites,0.2410350889,"['Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",amounts,0.2674971819,-,Undetermined,Undetermined,Undetermined,actividad,0.2630797029,['Data & Information<--informacion'],Data & Information,Data & Information,Data & Information,opt,0.3785046935,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,Information
26,aceptando,0.2752270699,-,Ownership agency,Ownership agency,Ownership agency,poblacion,0.3381146789,-,Users,Users,Users,privacy,0.3402581811,['Privacy & security terms<--users'],Privacy & security terms,Privacy & security terms,Privacy & security terms,purposes,0.2402512133,-,Undetermined,Undetermined,Undetermined,private,0.267473042,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,contactos,0.2627560496,['Data & Information<--informacion'],Data & Information,Data & Information,Data & Information,willingly,0.3783583641,['Reaction or attitude<--information'],Reaction or attitude,Reaction or attitude,Reaction or attitude,Information
27,normas,0.2747319341,-,Regulation,Regulation,Regulation,orwell,0.3365990222,-,Third party,Third party,Third party,personaldata,0.339620024,"['Data & Information<--information', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,automatically,0.2392733693,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",location,0.2664822638,-,Data & Information,Data & Information,Data & Information,mecanismos,0.2625962794,"['Data collection, handling and/or storage<--informacion']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",fb,0.378287673,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Information
28,marca,0.2738187909,['Undetermined<--empresa'],Undetermined,Undetermined,Undetermined,entidades,0.3356194794,-,Third party,Third party,Third party,company,0.3391877115,['Companies and Organizations<--users'],Companies,Companies,Companies,metadata,0.238843739,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,websites,0.2643055618,"['Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",identidad,0.2621695697,"['Privacy & security terms<--informacion', 'Privacy & security terms<--privacidad']",Privacy & security terms,Privacy & security terms,Privacy & security terms,voluntarily,0.3758095503,['Reaction or attitude<--information'],Reaction or attitude,Reaction or attitude,Reaction or attitude,Information
29,ilegal,0.2736625969,['Privacy & security risks<--usuarios'],Privacy & security risks,Privacy & security risks,Privacy & security risks,gobierno,0.3347477019,-,Third party,Third party,Third party,third,0.3375973701,-,Third party,Third party,Third party,malicious,0.2388248593,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,longer,0.2641157806,-,Undetermined,Undetermined,Undetermined,provocado,0.2609705925,['Reaction or attitude<--informacion'],Reaction or attitude,Reaction or attitude,Reaction or attitude,sensitive,0.3737943172,['Attribute or characteristic<--information'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,Information
30,rastrea,0.2731919289,-,Action,Action,Action,cuota,0.3342952132,-,Undetermined,Undetermined,Undetermined,app,0.3365812898,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",people,0.2386552989,['Users<--users'],Users,Users,Users,localblox,0.2631768584,-,Companies,Companies,Companies,troyano,0.2586092353,['Privacy & security risks<--informacion'],Privacy & security risks,Privacy & security risks,Privacy & security risks,contacts,0.3730693758,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,Information
31,dano,0.2726797462,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,adecuado,0.3341321051,['Attribute or characteristic<--informacion'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,millions,0.3353800178,-,Undetermined,Undetermined,Undetermined,browsing,0.2352876067,-,Action,Action,Action,store,0.2616995275,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",voragine,0.2559756339,['Reaction or attitude<--informacion'],Reaction or attitude,Reaction or attitude,Reaction or attitude,messages,0.3730436563,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,Information
32,test,0.2719409168,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",llamada,0.3320554495,-,Data & Information,Data & Information,Data & Information,unknowing,0.3320526779,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,encrypted,0.234917134,-,Security mechanisms,Security mechanisms,Security mechanisms,outsiders,0.2606395483,-,Third party,Third party,Third party,dificultad,0.2550856471,['Undetermined<--informacion'],Undetermined,Undetermined,Undetermined,infomation,0.3702556491,['Synonymous<--information'],Synonymous,Synonymous,Synonymous,Information
33,conveniencia,0.2710928917,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,promover,0.3310835361,-,Action,Action,Action,permission,0.331707567,['Ownership agency<--information'],Ownership agency,Ownership agency,Ownership agency,requirement,0.2325139791,-,Undetermined,Undetermined,Undetermined,reveal,0.2595002651,-,Action,Action,Action,atencion,0.2542876005,['Reaction or attitude<--informacion'],Reaction or attitude,Reaction or attitude,Reaction or attitude,access,0.3657346666,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Information
34,colabore,0.2710559666,-,Action,Action,Action,terreno,0.3293164372,-,Undetermined,Undetermined,Undetermined,pretenses,0.33154881,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,directly,0.2314170599,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,verify,0.2587397099,-,Action,Action,Action,medida,0.2503932118,['Regulation<--informacion'],Regulation,Regulation,Regulation,collected,0.364930898,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Information
