,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Andrea,Felipe_latinamerica_spanish,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Término Central
20,debido,0.3539422452,-,Undetermined,Undetermined,Undetermined,externa,0.4146953523,-,Undetermined,Undetermined,Undetermined,profiles,0.3971176147,"['Data & Information<--information', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,ads,0.3130857944,-,Action,Action,Action,audit,0.3023592234,-,Security mechanisms,Security mechanisms,Security mechanisms,cambridgeanalytics,0.3135893643,['Companies and Organizations<--usuarios'],Companies,Companies,Companies,private,0.4286415875,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,Usuarios
21,dispositivos,0.3502525687,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",nametests,0.4117239714,"['Data collection, handling and/or storage<--usuarios']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",private,0.3960825205,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,customers,0.309286356,['Third party<--users'],Users,Users,Users,teenagers,0.2995693982,-,Users,Users,Users,violacion,0.3124164045,['Privacy & security risks<--usuarios'],Privacy & security risks,Privacy & security risks,Privacy & security risks,consent,0.4203017354,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,Usuarios
22,multas,0.3494316339,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,autorizacion,0.4090319276,"['Ownership agency<--informacion', 'Ownership agency<--usuarios']",Ownership agency,Ownership agency,Ownership agency,default,0.3776778579,['Undetermined<--users'],Undetermined,Undetermined,Undetermined,comply,0.3070685267,-,Action,Action,Action,apps,0.2952130437,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",usan,0.3103076816,"['Data collection, handling and/or storage<--informacion', 'Action<--usuarios']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",accounts,0.4177924991,['Data & Information<--users'],Data & Information,Data & Information,Data & Information,Usuarios
23,utilizo,0.3490349352,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",robados,0.4039364457,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,consumer,0.375420332,['Users<--privacy'],Users,Users,Users,account,0.3058605194,-,Data & Information,Data & Information,Data & Information,subscribers,0.2950666547,['Users<--users'],Users,Users,Users,fines,0.3062489629,"['Undetermined<--informacion', 'Undetermined<--usuarios']",Undetermined,Undetermined,Undetermined,permissions,0.4147313833,['Ownership agency<--users'],Ownership agency,Ownership agency,Ownership agency,Usuarios
24,consultora,0.3489117026,['Third party<--empresa'],Third party,Third party,Third party,filtrados,0.4031272233,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,individuals,0.37522313,"['Third party<--information', 'Third party<--users']",Third party,Third party,Third party,permissions,0.3042696118,['Ownership agency<--users'],Ownership agency,Ownership agency,Ownership agency,settings,0.2908453941,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,autorizada,0.3062110543,['Ownership agency<--usuarios'],Ownership agency,Ownership agency,Ownership agency,use,0.4115788341,['Action<--users'],"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Usuarios
25,consumidores,0.3486407399,-,Users,Users,Users,activistas,0.4011776447,-,Third party,Third party,Third party,browsing,0.3736585677,-,Action,Action,Action,encrypted,0.3036610782,-,Security mechanisms,Security mechanisms,Security mechanisms,individuals,0.2891151607,"['Third party<--information', 'Third party<--users']",Third party,Third party,Third party,autorizados,0.305246383,['Ownership agency<--usuarios'],Ownership agency,Ownership agency,Ownership agency,others,0.4105794132,['Third party<--users'],Third party,Third party,Third party,Usuarios
26,indebidamente,0.348239392,['Privacy & security risks<--usuarios'],Privacy & security risks,Privacy & security risks,Privacy & security risks,robado,0.4002051055,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,accounts,0.364988625,['Data & Information<--users'],Data & Information,Data & Information,Data & Information,profiles,0.3007850647,"['Data & Information<--information', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,app,0.2863030732,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",privados,0.3052030504,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,opt,0.4064151943,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,Usuarios
27,ciudadanos,0.3455324173,['Users<--usuarios'],Users,Users,Users,unido,0.3997437358,-,Undetermined,Undetermined,Undetermined,developers,0.3638244867,['Third party<--users'],Third party,Third party,Third party,trackers,0.3005380929,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",contacts,0.2860997617,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,externos,0.3051913381,['Attribute or characteristic<--usuarios'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,default,0.4032161236,['Undetermined<--users'],Undetermined,Undetermined,Undetermined,Usuarios
28,colombianos,0.3427079916,-,Third party,Third party,Third party,ilegalmente,0.3963948488,"['Privacy & security risks<--empresa', 'Privacy & security risks<--informacion', 'Privacy & security risks<--usuarios']",Privacy & security risks,Privacy & security risks,Privacy & security risks,profile,0.3602998257,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,individuals,0.299499929,"['Third party<--information', 'Third party<--users']",Third party,Third party,Third party,viewed,0.2838931382,-,Action,Action,Action,cambridge,0.3039656878,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",Companies,Companies,Companies,usage,0.4026629925,"['Action<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Usuarios
29,aplicaciones,0.3423503637,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",cuyos,0.3961251676,-,Undetermined,Undetermined,Undetermined,americans,0.3596022129,['Third party<--users'],Third party,Third party,Third party,opt,0.2955530882,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,express,0.2812207043,-,Undetermined,Undetermined,Undetermined,comprometida,0.3036024868,['Privacy & security risks<--usuarios'],Privacy & security risks,Privacy & security risks,Privacy & security risks,australians,0.4019780159,['Third party<--users'],Third party,Third party,Third party,Usuarios
